---
Bogennummer: '13458'
Ort: Hoheneck bei Stollberg
Gid: 542399
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Andreas Schmidt
Erstelldatum: 2022-06-17 17:35:26.959092
Änderungsdatum: 2022-06-17 17:35:26.959092
...
WS3	[D]u Kuhln in Ofen, das de Millich bal[e] kucht.
