---
Bogennummer: '46474'
Ort: Schönkirchen
Gid: 106531
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Wk
Erstelldatum: 2026-03-28 14:37:32.162538
Änderungsdatum: 2026-03-28 14:37:32.162538
Satzversion: 1
...
WS1	"In'n Winder flēg de drögen Blä dör de Lŭf herüm.{rote Unterstreichungen unter den einzelnen Wörtern ""hört"", ""Winder"", ""flēg"", ""Blä"" und ""Lŭf ""; blaue senkrechte Striche hinter ""Blä"" und ""Lŭf "".}"
WS2	"Dat hört glick op taŭ schnien, denn ward dat Weller weller beder. {rote Unterstreichungen unter den einzelnen Wörtern ""hört"", ""glick"", ""schnien"" und ""Weller"".}"
WS3	"Daŭ Kä̀hle in'n A[?]bnd dat de Melk bald an taŭ kak'n fangt. {""fangt"" steht im Original als Einfügung über ""an"", wurde mit einem blauen Buntstift eingekreist und dem Satzende zugeordnet.} {rote Unterstreichungen unter den einzelnen Wörtern ""Daŭ"", ""Kä̀hle"", ""A[?]bnd"" und ""Melk"", ""bald"", ""an"" und ""fangt"".}"
WS4	"De gō ol Mann is mid dat Perd dört Iis  brokn ŭn in dat kohld Wader fŭlle. {rote Unterstreichungen unter den einzelnen Wörtern ""ol"", ""Mann"", ""Iis"" und ""brokn""; blauer senkrechter Strich hinter ""ol""; zusätzlich hinter ""ol"" und ""kohld"" jeweils ein blauer senkrechter Strich, der doppelt unterstrichen ist: Andeutung eines fehlenden t-Lautes?.}"
WS5	"He is wär weer oder sös Wekn [??]ud blewen. {rote Unterstreichungen unter den einzelnen Wörtern ""is"", ""sös"" und ""Wekn""; blauer senkrechter Strich hinter ""is"" und über/hinter dem ö von ""sös""; hinter ""Wekn"" ein blauer senkrechter Strich mit einem Kreis am oberen Ende.}"
WS6	"Dat Füer weer taŭ hitt, de Kauk'n sind jo ünner ganz swart brennt. {rote Unterstreichungen unter den einzelnen Wörtern ""Füer"", ""hitt, ""jo"", ""ünner"", ""swart"" und ""brennt""; blauer senkrechter Strich über/hinter dem nn von ""ünner"".}"
WS7	"He idd de Eier ümmer ahn Sald ŭn Paber. {rote Unterstreichungen unter den einzelnen Wörtern ""idd"", ""Eier"", ""ahn, ""Sald"" und ""Paper"".}"
WS8	"De Fäŭt daŭt mi förchterli weh, ick löw, ick heff se dör lōʒ́n. {rote Unterstreichungen unter den einzelnen Wörtern ""weh"", ""löw"", und ""lōʒ́n""; blauer senkrechter Strich vor ""löw""; zusätzlich hinter ""löw"" ein blauer senkrechter Strich, der doppelt unterstrichen ist: Andeutung eines fehlenden Lautes?.}"
