---;
Bogennummer: '46680';
Ort: Rieseby;
Gid: 117402;
Transliterationsprojekt: Viola Wilcken;
Erstelldatum: ;
Änderungsdatum: ;
Satzversion: 1;
...;
WS1;In Winder fleegt de drögen Bläder dörch de Luft herüm
WS2;Dat höllt glik op tau schnien denn wart dat Wedder wer beter
WS3;Do Köhln in den Ahmb dat de Melk bald an to kaken fangt
WS4;De gode ole Mann is mit dat Perd dörgt * Iis braken un in dat kole Water folln
WS5;He is vör veer oder söß Wochen storvn
WS6;Dat Füer weer to hitt de Koken sünd ja ünner ganß schwart brennt
WS7;He itt de Eier ümmer ahn Solt un Päper
WS8;De Föt daun mi heel weh ick glööv ick hef se dörglopen
WS9;Ick bün bi de Fru west un hef er dat seggt un se segg se woll dat ok de Dochter segg’n
WS10;Ick will dat ok nicht mehr weder daun
WS11;Ick schlag di glik mit den Kaklepel üm de Ohrn du Ahp
WS12;Wo geihst du hin schöllen wi mit di gahn
WS13;Dat sünd schlegde Tiden
WS14;Min leeves Kind bliev hier ünner stahn de bosen Gäus biet di dodt
WS15;Du hest hüt am meisten lehrt un büst ardig wesen, du dörfst fröher na Hus gahn as de annern
WS16;Du büst noch nich grot genog üm en Buddel Wien uttodrinken, du muß irst noch wassen un gröter warn
WS17;Gah sie so gut und segg din Schwester se scholl de Kleder für ju Mudder ferdig neihn un mit de Bößt rein maken
WS18;Harst du em kennt denn weer dat anners ka’m und dat de beder üm em stahn
WS19;Wer hatt mi min Korf mit Fleesch stahln
WS20;"He de so as harn se em ton döschen bestellt; se hebbt dat awer sölm dahn"
WS21;Wer hat he de nie’e Geschichte vertellt
WS22;Man mutt lut schrien sons versteiht se uns nich
WS23;Wi sünd mööd un hebbt Döst
WS24;As wie gestern Aben torüg kemen do leg’n de annern all tau Bett un weern fest ant schlapen
WS25;De Schnee is dösse Nach lieg’n blähm awer hüt Marg’n ist he schmöllt
WS26;Achter unser Hus staht dree lütt schön Abbelböhm mit lütt rod Abbeln
WS27;Kün ji nich noch en Ogenblick op uns tö’m denn gah wi mit ju
WS28;Ji dörft nich so’n Kinnerie drivn
WS29;Uns Barg’n sünd nich heel hoch ju sünd veel höger
WS30;Woveel Pund Wost un woveel Brod wüllt ji hemm
WS31;Ick verstah ju ni ji möt en beed’n luder spräk’n
WS32;Hebbt ji keen lütt Stück widd Seep op min Disch funn
WS33;Sin Broder will sich twee schön nie’e Hüser in ju’n Ga’rn bun
WS34;Dat Word keem em von Hard’n
WS35;Dat weer rech van se
WS36;Wat sitt da’r for lütt Vageln op de lütt Muer
WS37;De Buern harn fief Ossen un neg’n Köh un twölf lütt Schaap vör dat Dörp brächt de wull’n se verköpen
WS38;De Lüd sünd hüt all buten op dat Feld und meiht
WS39;Gah man de brune Hund deiht di nix
WS40;Ick bün mit de Lüd achter ower de Wiesch ind Korn föhrt
