---
Bogennummer: '45107'
Ort: Walliswil bei Niederbipp
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.433048'
...
WS3	Tue Chole n'i Ofe, dass d'Möuch (Miuch) gli afoht choche.
WS4	Dä guet aut Ma isch mit däm Ross dürs Ysch broche und i s'chaute Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche g'storbe.
WS6	s'Füür isch z'starch gsi, die Chueche si jo ungernoche ganz schwarz brönnt.
WS7	Är isst d'Eier gäng ohni Sauz und Pfäffer.
WS8	D'Füess tüe mir hert weh, i gloube, i heig se düregloufe.
WS9	J bi bi der Frou gsi und ha's ihre gseit, und si het gseit, si wöus ou ihrer Tochter säge.
WS10	J wott's ou nie me (wider) mache.
