---
Bogennummer: '45023'
Ort: Zofingen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:58.000161'
...
WS3	tuè chòle-n-i òfe, dass d' mìuwch baŭwd aafòt kòche (chòchè)
WS9	"i bì be [über 'e' steht in rot 'ì': ""bì""] de̊r fròu gsii und han-èr-ès gseit, ùnd si hètt gsèit, si wöuws òu ìrer tochte̊r såäge ['ä' ist unten zwischen 'å' und 'g' gesetzt]."
WS10	"ĩ wìuws ou nǜmme mee [zuerst stand ""meh"", dann wurde 'h' durchgestrichen und darunter 'e' gesetzt] mache."
WS14	"mis lièbe chìnd, bliib dò ùnde stòò, di bööse gäns biisse di tood [zwischen 'di' und 'tood' steht oben in rot ""(?) z'"": ""di  (?) z' tood""]."
