Bogennummer	Ort	Wenkersatz	Original	Alignment
04432	Potsdam	WS01	In'n Wintă flij'n die drocknn Blettă durch <(in)> de Luft rum.	inn wintă flijn die drocknn blettă durch de luft rum
04440	Teltow	WS01	Im Winter flieg'n die drocknen Blätter durch die Luft herum.	im winter fliegn die drocknen blätter durch die luft herum
04466	Fürstenwalde	WS01	Im Winter fliejen die trocknen Blätter durch die Luft herum.	im winter fliejen die trocknen blätter durch die luft herum
04484	Frankfurt/Oder	WS01	In'n Winter fliehen d'drocken Blätter durch die Luft rummer.	inn winter fliehen ddrocken blätter durch die luft rummer
04561	Königs	WS01	Im Winterr fliejen die trrocknen Blätterr durrch die Luft herrum.	im winterr fliejen die trrocknen blätterr durrch die luft herrum
04667	Zossen	WS01	In'n Winter fliegen die droikne Blätter in de Luft rum.	inn winter fliegen die droikne blätter in de luft rum
04691	Beeskow	WS01	In'n Winter flien die verdr[o]hten Blätter in de Luft rum.	inn winter flien die verdrohten blätter in de luft rum
05977	Weißenfels	WS01	In Winder fliegen de druck'n Blädder in der Luft 'rum.	in winder fliegen de druckn blädder in der luft rum
06213	Sondershausen	WS01	In Winner flilegen dĕ trocknen Bl[é]tter därch dĕ Luft rĭmm.	in winner flilegen dĕ trocknen blétter därch dĕ luft rĭmm
06394	Halle	WS01	Im Winder fliegn de drockn Bledder dorch de Luft rum. <(rumher)>.	im winder fliegn de drockn bledder dorch de luft rum 
06504	Eisleben	WS01	In Winter fliegen de trocken Bletter in dr Luft rum.	in winter fliegen de trocken bletter in dr luft rum
06686	Bitterfeld	WS01	In Winder fliehen de drehen Blâtter <(durch)> in de Lŭft rŭm.	in winder fliehen de drehen blâtter in de lŭft rŭm
06803	Blankenburg	WS01	In Winter fleien de dröen Bläder dorch de Luft rum.	in winter fleien de dröen bläder dorch de luft rum
06867	Dessau	WS01	In'n Winder flieen de trehen Blätter durch de Luft rum.	inn winder flieen de trehen blätter durch de luft rum
06896	Halberstadt	WS01	Im Winder fleien de dröhen Bläder dorch de Luft rum.	im winder fleien de dröhen bläder dorch de luft rum
07046	Plaussig	WS01	Ebenſo	ebenſo
07051	Leipzig	WS01	Im Winder fliegen de drocknen Blädder in dr Lufd rum.	im winder fliegen de drocknen blädder in dr lufd rum
07081	Hohburg	WS01	Im Winter fliegen die trocknen Blätter in der Luft herum.	im winter fliegen die trocknen blätter in der luft herum
07437	Steinitz	WS01	In Winter fliehen ganzes die tregen Blätter in die Luft rum.	in winter fliehen ganzes die tregen blätter in die luft rum
07852	Reinsberg	WS01	In Winter fliegen de treichen Blätter in der Luft rimm.	in winter fliegen de treichen blätter in der luft rimm
07895	Dresden	WS01	In Wintr fliegn di trockenen Blättr durch die Luft rum.	in wintr fliegn di trockenen blättr durch die luft rum
07896	Dresden	WS01	In Winter fliechen de trucknen Blätt'r durch </dorch> de Luft rum.	in winter fliechen de trucknen blättr durch de luft rum
08244	Elsterwerda	WS01	Im Winter fliegen die treegen Blätter durch die Luft rum.	im winter fliegen die treegen blätter durch die luft rum
08529	Goerlitz	WS01	Im Winter fliegen die droig'n Blätter durch die Luft rum.	im winter fliegen die droign blätter durch die luft rum
08621	Bautzen	WS01	In Wintr fliegn de truckn Blättr durch de Luft rum.	in wintr fliegn de truckn blättr durch de luft rum
08622	Burk	WS01	In Winter fliegen trockne Blater in Luft rimm.	in winter fliegen trockne blater in luft rimm
08893	Spremberg	WS01	Im Winter fliegen die trocknen Blätter durch die Luft rum.	im winter fliegen die trocknen blätter durch die luft rum
08900	Weisswasser	WS01	In Winter fliegen die trucknen Blätter in der Luft rum.	in winter fliegen die trucknen blätter in der luft rum
08975	Hornow	WS01	In den Winter fliegen die trocknen Blatter in der Luft herum.	in den winter fliegen die trocknen blatter in der luft herum
08980	Groß	WS01	Im Winter fliehn die tregen Blätter in der Luft rum.	im winter fliehn die tregen blätter in der luft rum
09468	Breslau	WS01	Im Winter fliegen de treugen Blätter ei der Luft rum.	im winter fliegen de treugen blätter ei der luft rum
